Account,Oracle Super Category,Oracle Category,PRISM Commodity Level 1,PRISM Commodity Level 2,PRISM Commodity Level 3,PRISM Commodity Level 4,PRISM Commodity Level 5,iProc Product Category,PRISM Commodity Name,Category Name,Commodity Level,Account,Financial Class,Special Reporting,Purchase Type,Change Type
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Repair Kit (6800),,SPARE PARTS - REPAIR KIT,Spare Parts - Repair Kit (6800),Spare Parts - Repair Kit ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Resistor (6800),,SPARE PARTS - RESISTOR,Spare Parts - Resistor (6800),Spare Parts - Resistor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Retainer (6800),,SPARE PARTS - RETAINER,Spare Parts - Retainer (6800),Spare Parts - Retainer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Retrofit Kit (6800),,SPARE PARTS - RETROFIT KIT,Spare Parts - Retrofit Kit (6800),Spare Parts - Retrofit Kit ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Ribbon Cable (6800),,SPARE PARTS - RIBBON CABLE,Spare Parts - Ribbon Cable (6800),Spare Parts - Ribbon Cable ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Ring (6800),,SPARE PARTS - RING,Spare Parts - Ring (6800),Spare Parts - Ring ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rinsing Bridge (6800),,SPARE PARTS - RINSING BRIDGE,Spare Parts - Rinsing Bridge (6800),Spare Parts - Rinsing Bridge ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rivet (6800),,SPARE PARTS - RIVET,Spare Parts - Rivet (6800),Spare Parts - RIVet ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rod (6800),,SPARE PARTS - ROD,Spare Parts - Rod (6800),Spare Parts - Rod ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Roller (6800),,SPARE PARTS - ROLLER,Spare Parts - Roller (6800),Spare Parts - Roller ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Roller For Blood Pump (6800),,SPARE PARTS - ROLLER FOR BLOOD PUMP,Spare Parts - Roller For Blood Pump (6800),Spare Parts - Roller For Blood Pump ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rotary Magnet (6800),,SPARE PARTS - ROTARY MAGNET,Spare Parts - Rotary Magnet (6800),Spare Parts - Rotary Magnet ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rotation Sensor (6800),,SPARE PARTS - ROTATION SENSOR,Spare Parts - Rotation Sensor (6800),Spare Parts - Rotation Sensor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Rotor (6800),,SPARE PARTS - ROTOR,Spare Parts - Rotor (6800),Spare Parts - Rotor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Sad Cover (6800),,SPARE PARTS - SAD COVER,Spare Parts - Sad Cover (6800),Spare Parts - Sad Cover ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Sad With Red Detector (6800),,SPARE PARTS - SAD WITH RED DETECTOR,Spare Parts - Sad With Red Detector (6800),Spare Parts - Sad With Red Detector ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Screw (6800),,SPARE PARTS - SCREW,Spare Parts - Screw (6800),Spare Parts - Screw ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Screwdriver (6800),,SPARE PARTS - SCREWDRIVER,Spare Parts - Screwdriver (6800),Spare Parts - ScrewdrIVer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Seal (6800),,SPARE PARTS - SEAL,Spare Parts - Seal (6800),Spare Parts - Seal ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Sensor (6800),,SPARE PARTS - SENSOR,Spare Parts - Sensor (6800),Spare Parts - Sensor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Separator (6800),,SPARE PARTS - SEPARATOR,Spare Parts - Separator (6800),Spare Parts - Separator ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Shaft (6800),,SPARE PARTS - SHAFT,Spare Parts - Shaft (6800),Spare Parts - Shaft ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Shcs (6800),,SPARE PARTS - SHCS,Spare Parts - Shcs (6800),Spare Parts - Shcs ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Shunt (6800),,SPARE PARTS - SHUNT,Spare Parts - Shunt (6800),Spare Parts - Shunt ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Silicone Tubing (6800),,SPARE PARTS - SILICONE TUBING,Spare Parts - Silicone Tubing (6800),Spare Parts - Silicone Tubing ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Single Holder (6800),,SPARE PARTS - SINGLE HOLDER,Spare Parts - Single Holder (6800),Spare Parts - Single Holder ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Sleeve (6800),,SPARE PARTS - SLEEVE,Spare Parts - Sleeve (6800),Spare Parts - Sleeve ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Snap Ring (6800),,SPARE PARTS - SNAP RING,Spare Parts - Snap Ring (6800),Spare Parts - Snap Ring ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Software (6800),,SPARE PARTS - SOFTWARE,Spare Parts - Software (6800),Spare Parts - Software ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Solenoid (6800),,SPARE PARTS - SOLENOID,Spare Parts - Solenoid (6800),Spare Parts - Solenoid ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Solenoid Valve (6800),,SPARE PARTS - SOLENOID VALVE,Spare Parts - Solenoid Valve (6800),Spare Parts - Solenoid Valve ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Spacer (6800),,SPARE PARTS - SPACER,Spare Parts - Spacer (6800),Spare Parts - Spacer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Speaker (6800),,SPARE PARTS - SPEAKER,Spare Parts - Speaker (6800),Spare Parts - Speaker ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Spring (6800),,SPARE PARTS - SPRING,Spare Parts - Spring (6800),Spare Parts - Spring ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Standoff (6800),,SPARE PARTS - STANDOFF,Spare Parts - Standoff (6800),Spare Parts - Standoff ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Status Light Cable (6800),,SPARE PARTS - STATUS LIGHT CABLE,Spare Parts - Status Light Cable (6800),Spare Parts - Status Light Cable ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Stopper (6800),,SPARE PARTS - STOPPER,Spare Parts - Stopper (6800),Spare Parts - Stopper ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Strain Relief (6800),,SPARE PARTS - STRAIN RELIEF,Spare Parts - Strain Relief (6800),Spare Parts - Strain Relief ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Strap (6800),,SPARE PARTS - STRAP,Spare Parts - Strap (6800),Spare Parts - Strap ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Suction Coupling (6800),,SPARE PARTS - SUCTION COUPLING,Spare Parts - Suction Coupling (6800),Spare Parts - Suction Coupling ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Suction Nipple (6800),,SPARE PARTS - SUCTION NIPPLE,Spare Parts - Suction Nipple (6800),Spare Parts - Suction Nipple ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Suction Pipe (6800),,SPARE PARTS - SUCTION PIPE,Spare Parts - Suction Pipe (6800),Spare Parts - Suction Pipe ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Suction Rod Complete (6800),,SPARE PARTS - SUCTION ROD COMPLETE,Spare Parts - Suction Rod Complete (6800),Spare Parts - Suction Rod Complete ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Suction Tubing (6800),,SPARE PARTS - SUCTION TUBING,Spare Parts - Suction Tubing (6800),Spare Parts - Suction Tubing ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Support (6800),,SPARE PARTS - SUPPORT,Spare Parts - Support (6800),Spare Parts - Support ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Switch (6800),,SPARE PARTS - SWITCH,Spare Parts - Switch (6800),Spare Parts - Switch ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Syringe Holder (6800),,SPARE PARTS - SYRINGE HOLDER,Spare Parts - Syringe Holder (6800),Spare Parts - Syringe Holder ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Tank (6800),,SPARE PARTS - TANK,Spare Parts - Tank (6800),Spare Parts - Tank ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Temperature Sensor (6800),,SPARE PARTS - TEMPERATURE SENSOR,Spare Parts - Temperature Sensor (6800),Spare Parts - Temperature Sensor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Template 1 (6800),,SPARE PARTS - TEMPLATE 1,Spare Parts - Template 1 (6800),Spare Parts - Template 1 ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Terminal (6800),,SPARE PARTS - TERMINAL,Spare Parts - Terminal (6800),Spare Parts - Terminal ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Thermistor (6800),,SPARE PARTS - THERMISTOR,Spare Parts - Thermistor (6800),Spare Parts - Thermistor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Thermistor Probe (Long Cable) (6800),,SPARE PARTS - THERMISTOR PROBE (LONG CABLE),Spare Parts - Thermistor Probe (Long Cable) (6800),Spare Parts - Thermistor Probe (Long Cable) ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Thermistor Probe (Short Cab) (6800),,SPARE PARTS - THERMISTOR PROBE (SHORT CAB),Spare Parts - Thermistor Probe (Short Cab) (6800),Spare Parts - Thermistor Probe (Short Cab) ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Throttle (6800),,SPARE PARTS - THROTTLE,Spare Parts - Throttle (6800),Spare Parts - Throttle ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Touch Controller Board (6800),,SPARE PARTS - TOUCH CONTROLLER BOARD,Spare Parts - Touch Controller Board (6800),Spare Parts - Touch Controller Board ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Touch Screen (6800),,SPARE PARTS - TOUCH SCREEN,Spare Parts - Touch Screen (6800),Spare Parts - Touch Screen ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Touch-Up Pen (6800),,SPARE PARTS - TOUCH-UP PEN,Spare Parts - Touch-Up Pen (6800),Spare Parts - Touch-Up Pen ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Transducer (6800),,SPARE PARTS - TRANSDUCER,Spare Parts - Transducer (6800),Spare Parts - Transducer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Transformer (6800),,SPARE PARTS - TRANSFORMER,Spare Parts - Transformer (6800),Spare Parts - Transformer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Triac Power Supply Assy (6800),,SPARE PARTS - TRIAC POWER SUPPLY ASSY,Spare Parts - Triac Power Supply Assy (6800),Spare Parts - Triac Power Supply Assy ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Ty-Wraps (6800),,SPARE PARTS - TY-WRAPS,Spare Parts - Ty-Wraps (6800),Spare Parts - Ty-Wraps ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Upper Level Sensor (6800),,SPARE PARTS - UPPER LEVEL SENSOR,Spare Parts - Upper Level Sensor (6800),Spare Parts - Upper Level Sensor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Value (6800),,SPARE PARTS - VALUE,Spare Parts - Value (6800),Spare Parts - Value ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Valve (6800),,SPARE PARTS - VALVE,Spare Parts - Valve (6800),Spare Parts - Valve ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Wan Bl (6800),,SPARE PARTS - WAN BL,Spare Parts - Wan Bl (6800),Spare Parts - Wan Bl ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Washer (6800),,SPARE PARTS - WASHER,Spare Parts - Washer (6800),Spare Parts - Washer ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Weight (6800),,SPARE PARTS - WEIGHT,Spare Parts - Weight (6800),Spare Parts - Weight ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Wire (6800),,SPARE PARTS - WIRE,Spare Parts - Wire (6800),Spare Parts - Wire ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts - Wrench (6800),,SPARE PARTS - WRENCH,Spare Parts - Wrench (6800),Spare Parts - Wrench ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Spare Parts (6800),,SPARE PARTS,Spare Parts (6800),Spare Parts ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Tee (6800),,TEE,Tee (6800),Tee ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Top Cover (6800),,TOP COVER,Top Cover (6800),Top Cover ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Travel Case (6800),,TRAVEL CASE,Travel Case (6800),Travel Case ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Add
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysis Machine Repair & Maintenance General (6800),,,Dialysis Machine Repair & Maintenance General (6800),Dialysis Machine Repair & Maintenance General ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,00000 - N/A,Direct,Change L3
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysis Machine Repair & Maintenance Labor (6800),,,Dialysis Machine Repair & Maintenance Labor (6800),Dialysis Machine Repair & Maintenance Labor ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,"11016 - R&M Labor - Medical (6800, 6830, 6840)",Direct,Change L3
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysis Machine Repair & Maintenance Service Agreements (6800),,,Dialysis Machine Repair & Maintenance Service Agreements (6800),Dialysis Machine Repair & Maintenance Service Agreements ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,"11018 - Maintenance, Maintenance Agreements, Calibration - Medical (6800, 6830, 6840, 1899)",Direct,Change L3
6800,Other Controllable,Machine MTN & Repair,Dialysis Equipment & Supplies,Dialysis Equipment Repair & Maintenance,R&M Dialysis Machine,Dialysis Machine Repair & Maintenance Testing & Inspection (6800),,,Dialysis Machine Repair & Maintenance Testing & Inspection (6800),Dialysis Machine Repair & Maintenance Testing & Inspection ,L4,6800 - R&M Dialysis Machine,000 - N/A - General,"11020 - Testing-Inspection - Medical (6800, 6830, 6840)",Direct,Change L3
